source,target,uid
"17,9,65,368,16,67,114,4,2","23,92,816,57,9,81,121,4,2",11191
"11,9,29,67,461,4,2","10,14,16,81,418,4,2",2301
"11,9,18,459,4,2","10,14,26,753,4,2",4756
"5,6,570,409,475,5,6,381,4,2","5,1015,9,625,1459,18,37,356,4,2",11418
"5,6,15,998,20,15,342,4,2","5,6,24,30,126,156,4,2",9701
"5,6,230,30,51,503,4,2","5,6,296,9,112,1482,4,2",10284
"8,7,18,445,4,2","8,15,56,2558,4,2",7844
"5,6,21,12,215,81,135,4,2","5,35,24,309,166,4,2",9589
"11,9,304,12,344,15,443,4,2","10,14,452,84,2626,22,185,4,2",8629
"8,7,56,116,36,283,4,2","12,20,983,109,211,290,4,2",9051
"17,9,92,14,273,13,2660,4,2","23,14,33,18,13,1871,19,4520,9,786,4,2",9740
"11,9,65,368,4,2","10,92,816,58,24,117,4,2",6870
"14,7,68,12,72,4,2","13,21,357,16,131,134,4,2",3274
"5,6,10,324,30,32,1957,4,2","5,11,6,7,1032,89,130,1179,4,2",10976
"8,7,514,4,2","12,20,2175,4,2",2718
"19,7,676,258,1197,4,2","40,92,4274,48,1436,4,2",8499
"5,6,93,16,15,101,5,44,95,31,4,2","5,6,271,46,121,18,37,85,54,4,2",11165
"5,6,58,60,22,52,4,2","5,6,26,124,25,62,4,2",4995
"8,7,1108,88,45,4,2","12,20,19,107,100,4,2",4573
"8,7,65,1405,33,4,2","8,15,57,17,38,9,32,2519,4,2",7272
"17,9,65,96,12,576,4,2","23,14,57,281,16,4517,9,58,24,180,4,2",9726
"19,7,18,162,847,4,2","33,29,9,26,1272,922,4,2",7182
"8,7,15,71,39,23,33,45,4,2","12,20,24,118,28,39,100,4,2",9833
"11,9,13,84,16,51,766,4,2","27,19,125,9,926,4,2",5941
"14,7,336,4,2","13,21,1555,4,2",740
"8,7,707,12,15,708,4,2","8,1465,31,548,4,2",9436
"11,9,13,84,16,51,766,4,2","27,19,125,9,926,4,2",6390
"5,6,1252,276,4,2","5,1019,9,462,4,2",3020
"5,6,278,2647,38,24,2648,4,2","41,2528,1860,908,517,4505,4,2",9637
"5,6,10,34,5,6,68,12,59,32,4,2","5,11,6,7,113,119,226,16,24,64,4,2",10554
"11,9,96,16,422,4,2","10,14,86,338,4,2",2310
"8,7,18,211,4,2","12,20,26,539,4,2",3512
"5,6,29,15,1164,53,45,4,2","5,32,314,260,16,1769,4,2",8746
"14,7,27,60,4,2","13,21,80,595,4,2",1522
"8,7,18,113,4,2","8,15,26,2314,4,2",4669
"14,7,10,82,245,31,4,2","13,11,21,7,46,961,4,2",8139
"5,6,85,111,161,4,2","5,35,86,68,4,2",5514
"8,7,163,46,33,4,2","8,15,30,436,18,39,4,2",5855
"5,6,10,63,123,4,2","5,11,6,7,86,114,4,2",3711
"8,7,394,4,2","12,20,593,4,2",818
"11,9,53,219,8,4,2","10,14,101,263,8,4,2",5451
"5,6,37,8,500,25,88,4,2","5,6,284,18,12,520,732,65,4,2",8787
"11,9,186,12,635,888,4,2","10,51,192,9,1409,36,989,4,2",9484
"5,6,10,160,4,2","5,11,6,7,182,4,2",620
"17,9,234,12,185,38,98,4,2","23,14,221,9,257,16,117,4,2",9732
"5,6,34,8,78,59,18,161,4,2","5,6,113,18,12,884,2654,26,68,4,2",8916
"5,6,1479,18,237,4,2","5,6,2741,26,514,4,2",9994
"5,6,203,30,36,142,4,2","5,6,412,89,76,183,4,2",9599
"17,9,157,29,101,4,2","23,261,292,4,2",4425
"11,9,15,2918,1860,16,51,118,4,2","27,24,1876,1877,9,81,144,4,2",11379
"17,9,406,81,4,2","23,14,17,38,9,1337,4,2",3757
"5,6,56,1768,88,45,4,2","28,447,5,1803,442,4,2",6936
"19,7,42,15,107,169,4,2","40,29,16,98,336,46,135,200,4,2",8488
"5,6,486,4,2","5,6,542,4,2",961
"5,6,66,272,50,4,2","5,11,6,30,97,4,2",4823
"14,7,10,95,4,2","13,96,115,7,138,4,2",1550
"8,7,18,167,4,2","12,20,26,364,4,2",3486
"8,7,20,13,1125,305,121,4,2","12,20,275,697,1330,25,149,4,2",9808
"5,6,1784,20,36,740,4,2","5,6,28,57,94,1657,4,2",7400
"14,7,28,120,28,2461,4,2","13,115,31,146,9,1281,4,2",7726
"8,7,10,18,35,4,2","8,43,7,26,111,4,2",5293
"11,9,532,189,4,2","10,14,2463,214,363,883,4,2",6911
"11,9,47,16,148,544,4,2","10,804,9,977,36,647,4,2",9515
"11,9,164,42,347,4,2","27,19,218,9,346,4,2",5395
"5,6,47,5,44,402,8,4,2","5,127,9,8,82,859,4,2",8721
"8,7,64,1135,4,2","8,15,66,3563,4,2",4033
"8,7,10,28,167,28,33,4,2","12,63,7,74,716,18,39,4,2",7782
"8,7,45,57,1249,4,2","12,20,223,19,1014,4,2",5237
