source,target,uid
"4,15,13,24,18,5,20,28,25,7,25,29,20,26,14,16,20,2","4,15,13,24,18,5,20,28,25,7,25,29,20,26,14,16,20,2",0
"27,25,28,16,19,28,9,13,18,8,18,5,9,23,14,4,17,5,18,21,23,8,9,8,10,26,5,21,11,15,17,27,27,28,22,26,7,27,25,16,6,2","27,25,28,16,19,28,9,13,18,8,18,5,9,23,14,4,17,5,18,21,23,8,9,8,10,26,5,21,11,15,17,27,27,28,22,26,7,27,25,16,6,2",1
"15,21,8,17,17,22,16,10,16,11,7,5,23,29,24,25,14,24,18,29,22,16,24,19,18,7,14,20,23,22,15,20,11,2","15,21,8,17,17,22,16,10,16,11,7,5,23,29,24,25,14,24,18,29,22,16,24,19,18,7,14,20,23,22,15,20,11,2",2
"4,19,27,14,28,22,14,23,2","4,19,27,14,28,22,14,23,2",3
"17,24,24,2","17,24,24,2",4
"23,11,18,26,7,21,17,16,4,10,4,5,28,8,2","23,11,18,26,7,21,17,16,4,10,4,5,28,8,2",5
"19,25,16,20,25,14,13,19,26,12,10,8,18,12,29,19,8,8,4,16,14,23,5,2","19,25,16,20,25,14,13,19,26,12,10,8,18,12,29,19,8,8,4,16,14,23,5,2",6
"10,12,10,20,19,19,13,4,25,25,11,11,28,16,14,12,2","10,12,10,20,19,19,13,4,25,25,11,11,28,16,14,12,2",7
"4,18,14,4,5,19,14,29,21,13,24,28,20,11,10,10,11,2","4,18,14,4,5,19,14,29,21,13,24,28,20,11,10,10,11,2",8
"27,5,4,27,11,11,8,23,29,29,17,22,13,22,8,22,9,15,29,12,25,18,5,16,6,27,24,8,11,18,5,8,28,21,15,6,11,9,11,2","27,5,4,27,11,11,8,23,29,29,17,22,13,22,8,22,9,15,29,12,25,18,5,16,6,27,24,8,11,18,5,8,28,21,15,6,11,9,11,2",9
"12,17,28,7,6,15,27,20,27,8,5,23,19,10,7,23,11,9,7,5,17,22,22,13,2","12,17,28,7,6,15,27,20,27,8,5,23,19,10,7,23,11,9,7,5,17,22,22,13,2",10
"23,16,13,17,16,11,21,19,4,5,11,19,26,29,25,29,8,5,25,12,22,20,23,19,5,16,25,9,10,27,25,4,14,12,15,16,17,24,4,5,23,29,2","23,16,13,17,16,11,21,19,4,5,11,19,26,29,25,29,8,5,25,12,22,20,23,19,5,16,25,9,10,27,25,4,14,12,15,16,17,24,4,5,23,29,2",11
"27,5,18,11,5,10,22,29,23,28,28,20,20,22,14,6,25,22,14,18,4,25,4,24,28,24,29,16,12,4,9,23,5,7,6,17,6,2","27,5,18,11,5,10,22,29,23,28,28,20,20,22,14,6,25,22,14,18,4,25,4,24,28,24,29,16,12,4,9,23,5,7,6,17,6,2",12
"10,25,20,23,26,23,29,19,4,10,20,4,4,25,2","10,25,20,23,26,23,29,19,4,10,20,4,4,25,2",13
"21,26,9,10,21,22,19,21,15,20,9,19,12,11,21,13,8,27,15,10,20,25,10,26,28,20,13,9,10,11,15,28,26,27,13,29,27,26,23,26,14,27,8,26,2","21,26,9,10,21,22,19,21,15,20,9,19,12,11,21,13,8,27,15,10,20,25,10,26,28,20,13,9,10,11,15,28,26,27,13,29,27,26,23,26,14,27,8,26,2",14
"16,16,14,2","16,16,14,2",15
"19,11,22,15,29,7,26,19,27,4,17,17,20,17,5,27,23,18,5,5,20,8,13,26,25,18,28,20,7,8,21,24,14,17,28,21,18,4,9,26,21,5,16,2","19,11,22,15,29,7,26,19,27,4,17,17,20,17,5,27,23,18,5,5,20,8,13,26,25,18,28,20,7,8,21,24,14,17,28,21,18,4,9,26,21,5,16,2",16
"13,13,18,28,28,23,2","13,13,18,28,28,23,2",17
"27,13,9,17,28,20,15,27,25,10,7,26,27,11,29,15,19,16,8,29,18,9,15,6,28,8,19,13,12,2","27,13,9,17,28,20,15,27,25,10,7,26,27,11,29,15,19,16,8,29,18,9,15,6,28,8,19,13,12,2",18
"7,9,16,14,2","7,9,16,14,2",19
"13,7,12,23,28,5,16,20,21,23,26,11,2","13,7,12,23,28,5,16,20,21,23,26,11,2",21
"21,21,5,23,10,26,20,5,12,2","21,21,5,23,10,26,20,5,12,2",22
"21,19,19,11,6,7,21,19,14,24,21,11,6,27,22,25,10,14,14,12,27,15,20,28,11,2","21,19,19,11,6,7,21,19,14,24,21,11,6,27,22,25,10,14,14,12,27,15,20,28,11,2",24
"17,5,16,19,26,24,10,6,2","17,5,16,19,26,24,10,6,2",25
