source,target,uid
"11,18,24,10,9,11,10,2","10,11,9,10,24,18,11,2",0
"20,7,10,27,7,5,29,15,22,12,26,24,21,11,9,10,24,29,7,24,6,10,19,18,13,22,13,11,26,9,24,27,22,9,14,26,8,8,10,17,11,22,16,2","16,22,11,17,10,8,8,26,14,9,22,27,24,9,26,11,13,22,13,18,19,10,6,24,7,29,24,10,9,11,21,24,26,12,22,15,29,5,7,27,10,7,20,2",1
"27,28,10,2","10,28,27,2",3
"7,29,15,4,4,7,16,20,12,9,6,16,23,17,15,19,16,18,25,6,27,5,23,6,20,22,20,21,28,4,16,17,6,9,20,14,16,21,19,8,10,7,15,2","15,7,10,8,19,21,16,14,20,9,6,17,16,4,28,21,20,22,20,6,23,5,27,6,25,18,16,19,15,17,23,16,6,9,12,20,16,7,4,4,15,29,7,2",4
"12,18,19,24,2","24,19,18,12,2",5
"12,19,27,27,29,12,22,2","22,12,29,27,27,19,12,2",6
"24,9,17,11,20,8,18,7,7,25,8,24,27,29,27,22,7,25,21,20,23,21,4,20,18,6,6,2","6,6,18,20,4,21,23,20,21,25,7,22,27,29,27,24,8,25,7,7,18,8,20,11,17,9,24,2",8
"10,22,21,25,24,14,6,29,7,14,20,25,25,17,25,6,8,25,20,12,23,21,10,18,28,19,19,6,24,7,11,17,2","17,11,7,24,6,19,19,28,18,10,21,23,12,20,25,8,6,25,17,25,25,20,14,7,29,6,14,24,25,21,22,10,2",9
"25,29,8,6,14,8,4,11,13,6,4,26,13,27,22,22,16,16,12,29,5,18,16,26,18,8,24,6,26,22,19,11,4,26,4,2","4,26,4,11,19,22,26,6,24,8,18,26,16,18,5,29,12,16,16,22,22,27,13,26,4,6,13,11,4,8,14,6,8,29,25,2",10
"13,21,26,23,23,5,29,24,24,4,8,16,16,22,23,23,6,4,10,5,21,11,5,6,11,22,26,20,10,25,22,9,6,24,22,17,23,12,12,11,7,24,9,27,28,20,29,24,2","24,29,20,28,27,9,24,7,11,12,12,23,17,22,24,6,9,22,25,10,20,26,22,11,6,5,11,21,5,10,4,6,23,23,22,16,16,8,4,24,24,29,5,23,23,26,21,13,2",14
"20,19,14,19,6,12,7,22,22,29,21,2","21,29,22,22,7,12,6,19,14,19,20,2",15
"16,12,16,29,22,7,17,11,5,19,25,25,23,20,19,6,12,24,25,6,22,2","22,6,25,24,12,6,19,20,23,25,25,19,5,11,17,7,22,29,16,12,16,2",16
"6,4,14,10,21,6,5,21,8,23,29,18,23,28,15,26,24,8,2","8,24,26,15,28,23,18,29,23,8,21,5,6,21,10,14,4,6,2",18
"15,21,10,11,17,11,17,17,18,9,22,9,7,23,9,16,24,28,9,12,13,7,2","7,13,12,9,28,24,16,9,23,7,9,22,9,18,17,17,11,17,11,10,21,15,2",19
"17,7,5,18,16,25,6,4,5,20,26,24,12,24,15,25,22,25,12,10,11,7,7,21,12,19,4,26,20,13,4,17,10,16,11,9,7,17,19,2","19,17,7,9,11,16,10,17,4,13,20,26,4,19,12,21,7,7,11,10,12,25,22,25,15,24,12,24,26,20,5,4,6,25,16,18,5,7,17,2",20
"15,7,11,13,26,29,8,25,13,25,6,21,14,8,9,4,15,23,11,20,29,23,19,19,27,9,11,17,29,16,21,12,16,18,17,4,5,20,17,10,28,5,2","5,28,10,17,20,5,4,17,18,16,12,21,16,29,17,11,9,27,19,19,23,29,20,11,23,15,4,9,8,14,21,6,25,13,25,8,29,26,13,11,7,15,2",21
"6,14,17,10,18,4,15,4,19,15,6,20,16,15,23,20,8,8,5,22,15,8,6,16,12,10,12,8,27,2","27,8,12,10,12,16,6,8,15,22,5,8,8,20,23,15,16,20,6,15,19,4,15,4,18,10,17,14,6,2",22
"9,8,29,21,23,15,24,23,7,28,15,29,17,11,18,12,4,22,16,16,17,27,27,24,28,5,12,5,27,25,4,29,26,13,10,25,25,16,27,14,26,28,18,15,2","15,18,28,26,14,27,16,25,25,10,13,26,29,4,25,27,5,12,5,28,24,27,27,17,16,16,22,4,12,18,11,17,29,15,28,7,23,24,15,23,21,29,8,9,2",23
"25,19,27,23,18,24,28,6,10,6,14,5,5,2","5,5,14,6,10,6,28,24,18,23,27,19,25,2",24
"6,11,26,20,25,11,2","11,25,20,26,11,6,2",25
"15,27,9,26,8,28,19,6,5,26,15,13,8,23,19,27,29,16,11,25,16,29,13,18,17,21,26,14,4,27,23,16,24,22,28,11,4,11,10,19,18,19,20,10,29,24,27,25,17,2","17,25,27,24,29,10,20,19,18,19,10,11,4,11,28,22,24,16,23,27,4,14,26,21,17,18,13,29,16,25,11,16,29,27,19,23,8,13,15,26,5,6,19,28,8,26,9,27,15,2",26
"16,29,17,4,28,15,29,29,27,15,17,27,4,9,20,12,4,18,29,19,5,2","5,19,29,18,4,12,20,9,4,27,17,15,27,29,29,15,28,4,17,29,16,2",27
"23,21,14,18,5,22,21,16,8,12,18,23,5,17,24,22,14,6,15,18,11,16,15,10,29,12,28,7,9,26,24,18,29,17,2","17,29,18,24,26,9,7,28,12,29,10,15,16,11,18,15,6,14,22,24,17,5,23,18,12,8,16,21,22,5,18,14,21,23,2",28
"16,25,4,24,15,21,12,23,11,15,29,6,29,10,24,17,14,8,28,6,11,17,17,26,25,23,15,18,22,27,23,9,14,22,8,23,17,25,24,20,15,2","15,20,24,25,17,23,8,22,14,9,23,27,22,18,15,23,25,26,17,17,11,6,28,8,14,17,24,10,29,6,29,15,11,23,12,21,15,24,4,25,16,2",29
"4,27,19,9,14,5,5,26,16,13,4,12,27,2","27,12,4,13,16,26,5,5,14,9,19,27,4,2",30
"8,22,24,10,6,24,14,27,22,14,18,14,20,9,10,27,18,16,15,23,26,2","26,23,15,16,18,27,10,9,20,14,18,14,22,27,14,24,6,10,24,22,8,2",32
"5,10,23,4,21,4,13,11,19,28,20,14,15,11,12,2","12,11,15,14,20,28,19,11,13,4,21,4,23,10,5,2",33
"11,15,15,22,9,26,19,15,6,17,7,13,4,25,22,8,9,20,24,19,12,15,14,14,8,5,11,5,2","5,11,5,8,14,14,15,12,19,24,20,9,8,22,25,4,13,7,17,6,15,19,26,9,22,15,15,11,2",34
"14,17,9,11,22,8,27,26,8,27,17,11,22,14,20,8,11,15,14,25,22,26,12,24,4,11,17,14,23,19,4,26,14,7,2","7,14,26,4,19,23,14,17,11,4,24,12,26,22,25,14,15,11,8,20,14,22,11,17,27,8,26,27,8,22,11,9,17,14,2",35
"13,24,15,25,4,9,29,9,18,5,29,6,11,20,24,17,9,17,15,2","15,17,9,17,24,20,11,6,29,5,18,9,29,9,4,25,15,24,13,2",36
"27,11,25,29,24,15,17,7,7,15,22,28,8,14,25,2","25,14,8,28,22,15,7,7,17,15,24,29,25,11,27,2",37
"20,13,9,17,20,17,27,24,18,27,21,20,28,18,24,9,9,6,22,10,14,12,8,16,29,8,2","8,29,16,8,12,14,10,22,6,9,9,24,18,28,20,21,27,18,24,27,17,20,17,9,13,20,2",38
"10,6,13,17,13,18,4,8,18,14,13,6,22,23,11,22,11,23,26,27,29,19,15,10,25,9,18,28,26,19,8,2","8,19,26,28,18,9,25,10,15,19,29,27,26,23,11,22,11,23,22,6,13,14,18,8,4,18,13,17,13,6,10,2",39
